--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Calculator/FX_WIDGET/[I@42406400 x [I@42406420/-2/ComponentInfo{com.htc.android.fusion.calculator/com.htc.android.fusion.calculator.RosieIntentReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Locations/FX_WIDGET/[I@4285ced0 x [I@42812a68/-2/ComponentInfo{com.htc.laputa.widget3d.locations/com.htc.laputa.widget3d.locations.LocationsWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Navigate/FX_WIDGET/[I@425b32a0 x [I@425b32c0/-2/ComponentInfo{com.htc.laputa.widget3d.navigate/com.htc.laputa.widget3d.navigate.NavigateWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Tips & Help/FX_WIDGET/[I@42869058 x [I@4253cbd8/-2/ComponentInfo{com.htc.rosiewidgets.showme/com.htc.rosiewidgets.showme.ShowMeWidget4x4})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Watch/FX_WIDGET/[I@425be578 x [I@425be598/-2/ComponentInfo{com.htc.widget3d.watch/com.htc.widget3d.watch.WatchProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Notes/FX_WIDGET/[I@424c3de8 x [I@424c3e08/-2/ComponentInfo{com.htc.htcrichnoteswidget3d/com.htc.htcrichnoteswidget3d.NotesWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Notes/FX_WIDGET/[I@4283fba8 x [I@4283fbc8/-2/ComponentInfo{com.htc.htcrichnoteswidget3d/com.htc.htcrichnoteswidget3d.NotesWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Auto rotate/FX_WIDGET/[I@42437fd0 x [I@4295f148/-2/ComponentInfo{com.htc.autorotatewidget/com.htc.autorotatewidget.AutoRotateWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Auto sync/FX_WIDGET/[I@427704e8 x [I@42770508/-2/ComponentInfo{com.htc.rosiewidgets.backgrounddata/com.htc.rosiewidgets.backgrounddata.HtcBackgroundDataWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Bookmarks/FX_WIDGET/[I@427be7e8 x [I@427be808/-2/ComponentInfo{com.htc.fusion.htcbookmarkwidget/com.htc.fusion.htcbookmarkwidget.BookmarkWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Calendar/FX_WIDGET/[I@42882340 x [I@42882360/-2/ComponentInfo{com.htc.htccalendarwidgets/com.htc.htccalendarwidgets.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Calendar/FX_WIDGET/[I@42804388 x [I@428043a8/-2/ComponentInfo{com.htc.htccalendarwidgets/com.htc.htccalendarwidgets.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Calendar/FX_WIDGET/[I@4253e780 x [I@4253e7a0/-2/ComponentInfo{com.htc.htccalendarwidgets/com.htc.htccalendarwidgets.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Weather Clock/FX_WIDGET/[I@4259c4e0 x [I@4259c500/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Weather Clock/FX_WIDGET/[I@428a8c70 x [I@428a8c90/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Social Clock/FX_WIDGET/[I@42818208 x [I@428017c0/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CordovaWebViewClient(12821): onPageStarted(file:///android_asset/www/index.html)
D/CordovaActivity(12821): onMessage(onPageStarted,file:///android_asset/www/index.html)
D/HostStatisticManager(12821): netstack: DNS Host Prioritization is: ON, Version: 5.0.1
V/chromium(12821): external/chromium/net/host_resolver_helper/host_resolver_helper.cc:66: [0324/221221:INFO:host_resolver_helper.cc(66)] DNSPreResolver::Init got hostprovider:0x541b0010
V/chromium(12821): external/chromium/net/base/host_resolver_impl.cc:1510: [0324/221221:INFO:host_resolver_impl.cc(1510)] HostResolverImpl::SetPreresolver preresolver:0x5415c670
D/PackageManager(  584): generateServicesMap(android.content.SyncAdapter): 64 services unchanged
D/        (12821): dl error message Cannot load library: link_image[1891]:   251 could not load needed library 'libcneapiclient.so' for 'libtcpfinaggr.so' (load_library[1093]: Library 'libcneapiclient.so' not found)
D/Socket_Pool(12821): Failed to create TCP Fin Aggregation interface.
D/Socket_Pool(12821): netstack: CloseUnusedSockets is ON
D/Socket_Pool(12821): netstack: system net.statistics value: 0
D/Socket_Pool(12821): Failed to create TCP Fin Aggregation interface.
D/Socket_Pool(12821): netstack: CloseUnusedSockets is ON
D/Socket_Pool(12821): netstack: system net.statistics value: 0
D/BackupManagerService(  584): Received broadcast Intent { act=android.intent.action.PACKAGE_REMOVED dat=package flg=0x8000010 (has extras) }
D/        (12821): external/chromium/net/http/http_getzip_factory.cc: libgetzip.so successfully loaded
D/        (12821): external/chromium/net/http/http_getzip_factory.cc,: GETzip initializing method was found in libgetzip.so
D/        (12821): netstack: Getzip is: ON, Version: 5.0.1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Digital Clock/FX_WIDGET/[I@427e4920 x [I@427e4940/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Travel Clock/FX_WIDGET/[I@42831888 x [I@428318a8/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Analog Clock/FX_WIDGET/[I@424b40d8 x [I@424b40f8/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Analog Clock/FX_WIDGET/[I@427af210 x [I@427af230/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Analog Clock/FX_WIDGET/[I@42802dd8 x [I@42952990/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(World Clock/FX_WIDGET/[I@4294b648 x [I@4294b668/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Calm Clock/FX_WIDGET/[I@42435f70 x [I@42435f90/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Cosmos Clock/FX_WIDGET/[I@4252ff80 x [I@4252ffa0/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Hugo Clock/FX_WIDGET/[I@427b19f8 x [I@427b1a18/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Wood Clock/FX_WIDGET/[I@4282bed8 x [I@4282bef8/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Silver Clock/FX_WIDGET/[I@424b0308 x [I@424b0328/-2/ComponentInfo{com.htc.clock3dwidget/com.htc.clock3dwidget.ClockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(People/FX_WIDGET/[I@428fff28 x [I@428fff48/-2/ComponentInfo{com.htc.htccontactwidgets_3d_fusion/com.htc.htccontactwidgets_3d_fusion.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(People/FX_WIDGET/[I@4286ceb8 x [I@4286ced8/-2/ComponentInfo{com.htc.htccontactwidgets_3d_fusion/com.htc.htccontactwidgets_3d_fusion.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Data Roaming/FX_WIDGET/[I@42483c18 x [I@42483c38/-2/ComponentInfo{com.htc.rosiewidgets.dataroaming/com.htc.rosiewidgets.dataroaming.HtcDataRoamingWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Data Dashboard/FX_WIDGET/[I@4241bd58 x [I@428d9238/-2/ComponentInfo{com.htc.rosiewidgets.datastrip/com.htc.rosiewidgets.datastrip.DataStripWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Best Deals/FX_WIDGET/[I@428f34f8 x [I@428f3518/-2/ComponentInfo{com.htc.dealswidget/com.htc.dealswidget.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(FM Radio/FX_WIDGET/[I@42877da0 x [I@42877dc0/-2/ComponentInfo{com.htc.FMRadioWidget/com.htc.FMRadioWidget.FMRadioWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Friend Stream/FX_WIDGET/[I@427cdc08 x [I@427cdc28/-2/ComponentInfo{com.htc.FriendStream3DWidget/com.htc.FriendStream3DWidget.FriendStreamWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Mail/FX_WIDGET/[I@4284bfb8 x [I@4284bfd8/-2/ComponentInfo{com.htc.htcmailwidgets/com.htc.htcmailwidgets.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Mail/FX_WIDGET/[I@4282cb48 x [I@4282cb68/-2/ComponentInfo{com.htc.htcmailwidgets/com.htc.htcmailwidgets.WidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Messages/FX_WIDGET/[I@428676f8 x [I@42867718/-2/ComponentInfo{com.htc.htcmsgwidgets3d/com.htc.htcmsgwidgets3d.MsgWidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Messages/FX_WIDGET/[I@42887310 x [I@42887330/-2/ComponentInfo{com.htc.htcmsgwidgets3d/com.htc.htcmsgwidgets3d.MsgWidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Music/FX_WIDGET/[I@428a6740 x [I@428a6760/-2/ComponentInfo{com.htc.MusicWidget3D/com.htc.MusicWidget3D.MusicWidget3DProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Music/FX_WIDGET/[I@4290e2f0 x [I@4290e310/-2/ComponentInfo{com.htc.MusicWidget3D/com.htc.MusicWidget3D.MusicWidget3DProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Photo Album/FX_WIDGET/[I@42627db0 x [I@42627dd0/-2/ComponentInfo{com.htc.photowidget3d/com.htc.photowidget3d.album.PhotoAlbumWidgetProvider})
D/PackageManager(  584): generateServicesMap(android.accounts.AccountAuthenticator): 20 services unchanged
D/FxWidgetProvider( 1163): row 1
D/DexLibLoader(12805): loading pre-built cross-dex opt odex files
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Photo Frame/FX_WIDGET/[I@42954808 x [I@42954828/-2/ComponentInfo{com.htc.photowidget3d/com.htc.photowidget3d.album.PhotoAlbumWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/dalvik-internals(12805): successfully hooked dvmResolveClass using jump
D/dalvik-internals(12805): successfully hooked dvmFlushBreakpoints using jump
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Photo Grid/FX_WIDGET/[I@4241e4f0 x [I@4241e510/-2/ComponentInfo{com.htc.photowidget3d/com.htc.photowidget3d.album.PhotoAlbumWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Power Dashboard/FX_WIDGET/[I@42660f00 x [I@42660f20/-2/ComponentInfo{com.htc.rosiewidgets.powerstrip/com.htc.rosiewidgets.powerstrip.PowerStripWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Profile/FX_WIDGET/[I@42904e60 x [I@42904e80/-2/ComponentInfo{com.htc.widget.profile/com.htc.widget.HtcWidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Ringtone/FX_WIDGET/[I@42924720 x [I@42924740/-2/ComponentInfo{com.htc.widget.ringtone/com.htc.widget.HtcWidgetReceiver})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Screen Brightness/FX_WIDGET/[I@4293c3d8 x [I@4293c3f8/-2/ComponentInfo{com.htc.rosiewidgets.screenbrightness/com.htc.rosiewidgets.screenbrightness.WidgetScreenBrightness})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Screen Timeout/FX_WIDGET/[I@42918d30 x [I@42918d50/-2/ComponentInfo{com.htc.rosiewidgets.screentimeout/com.htc.rosiewidgets.screentimeout.ScreenTimeoutWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Airplane mode/FX_WIDGET/[I@424c6f80 x [I@424c6fa0/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.AirplaneWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Bluetooth/FX_WIDGET/[I@4297d190 x [I@4297d1b0/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.BTWidget})
W/PackageManager(  584): Unable to load service info ResolveInfo{43239b00 com.htc.socialnetwork.facebook.remote.FacebookSyncService p=0 o=0 m=0x108000}
W/PackageManager(  584): org.xmlpull.v1.XmlPullParserException: No android.content.SyncAdapter meta-data
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache.parseServiceInfo(RegisteredServicesCache.java:377)
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache.generateServicesMap(RegisteredServicesCache.java:261)
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache$1.onReceive(RegisteredServicesCache.java:110)
W/PackageManager(  584): 	at android.app.LoadedApk$ReceiverDispatcher$Args.run(LoadedApk.java:832)
W/PackageManager(  584): 	at android.os.Handler.handleCallback(Handler.java:615)
W/PackageManager(  584): 	at android.os.Handler.dispatchMessage(Handler.java:92)
W/PackageManager(  584): 	at android.os.Looper.loop(Looper.java:155)
W/PackageManager(  584): 	at com.android.server.ServerThread.run(SystemServer.java:1031)
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(GPS/FX_WIDGET/[I@4242d4b0 x [I@4242d4d0/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.GPSWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Wi-Fi Hotspot/FX_WIDGET/[I@42806b18 x [I@42806b38/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.HotspotWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Mobile data/FX_WIDGET/[I@426ac3b8 x [I@426ac3d8/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.MobileNetworkWidget})
D/JsMessageQueue(12821): Set native->JS mode to OnlineEventsBridgeMode
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Wi-Fi/FX_WIDGET/[I@4276f3d0 x [I@4276f3f0/-2/ComponentInfo{com.htc.htcsettingwidgets/com.htc.htcsettingwidgets.WiFiWidget})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Sync All/FX_WIDGET/[I@4297a570 x [I@4297a590/-2/ComponentInfo{com.htc.Sync3DWidget/com.htc.Sync3DWidget.SyncWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Tasks/FX_WIDGET/[I@4293df18 x [I@4293df38/-2/ComponentInfo{com.htc.Task3DWidget/com.htc.Task3DWidget.WidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Stocks/FX_WIDGET/[I@42850048 x [I@42850068/-2/ComponentInfo{com.htc.stockwidget/com.htc.stockwidget.StockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Stocks/FX_WIDGET/[I@42433e58 x [I@42433e78/-2/ComponentInfo{com.htc.stockwidget/com.htc.stockwidget.StockWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Weather/FX_WIDGET/[I@42843b30 x [I@42843b50/-2/ComponentInfo{com.htc.widget3d.weather/com.htc.widget3d.weather.WeatherWidgetProvider})
D/FxWidgetProvider( 1163): row 1
D/CombinedWidgetProvider( 1163): addFxWidget: WidgetSummary(Weather/FX_WIDGET/[I@426f1c28 x [I@426f1c48/-2/ComponentInfo{com.htc.widget3d.weather/com.htc.widget3d.weather.WeatherWidgetProvider})
D/CombinedWidgetProvider( 1163): -addFxWidgets diff: 2738
D/CombinedWidgetProvider( 1163): +addAppWidgetCategories
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Podcast Addict/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Internet/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Calendar/APP_WIDGET/0)
D/DexLibLoader(12805): released odex store lock
D/DexLibLoader(12805): DexLibLoader.loadAll took 2095 ms
D/SystemClassLoaderAdder(12805): Zeroed out zipFile entry corresponding to path /data/app/com.facebook.katana-2.apk
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Deezer/APP_WIDGET/0)
D/PackageManager(  584): generateServicesMap(android.content.SyncAdapter): 64 services unchanged
D/BackupManagerService(  584): Received broadcast Intent { act=android.intent.action.PACKAGE_ADDED dat=package flg=0x8000010 (has extras) }
V/BackupManagerService(  584): removePackageParticipantsLocked: uid=10138 #1
I/dalvik-internals(12805): gDvm has value 0x40171688.  Searching for vmList (initial offset in [704,1480]).
I/dalvik-internals(12805): Beginning search.  Actual offset in [704,1468].
E/dalvik-internals(12805): Failed to find vmList in gDvm.  Going to brute-force search for LinearAllocHdr.
D/dalvik-internals(12805): Evaluating LinearAllocHdr candidate at 0x40187fa8.
I/dalvik-internals(12805): Found LinearAllocHdr (with no vmList) at offset 932.
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Settings/APP_WIDGET/0)
D/CordovaLog(12821): file:///android_asset/www/js/openfb.js: Line 38 : file:///android_asset/oauthcallback.html
I/Web Console(12821): file:///android_asset/oauthcallback.html at file:///android_asset/www/js/openfb.js:38
D/CordovaLog(12821): file:///android_asset/www/js/openfb.js: Line 39 : file:///android_asset/logoutcallback.html
I/Web Console(12821): file:///android_asset/logoutcallback.html at file:///android_asset/www/js/openfb.js:39
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-7ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(TuneIn Radio/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Twitter/APP_WIDGET/0)
V/BackupManagerService(  584): addPackageParticipantsLocked: #1
D/CordovaLog(12821): file:///android_asset/www/js/app.js: Line 17 : Service initialized
I/Web Console(12821): Service initialized at file:///android_asset/www/js/app.js:17
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Facebook/APP_WIDGET/0)
V/chromium(12821): external/chromium/net/disk_cache/hostres_plugin_bridge.cc:52: [0324/221223:INFO:hostres_plugin_bridge.cc(52)] StatHubCreateHostResPlugin initializing...
V/chromium(12821): external/chromium/net/disk_cache/hostres_plugin_bridge.cc:57: [0324/221223:INFO:hostres_plugin_bridge.cc(57)] StatHubCreateHostResPlugin lib loaded
V/chromium(12821): external/chromium/net/disk_cache/hostres_plugin_bridge.cc:63: [0324/221223:INFO:hostres_plugin_bridge.cc(63)] StatHubCreateHostResPlugin plugin connected
V/chromium(12821): external/chromium/net/http/http_cache.cc:1168: [0324/221223:INFO:http_cache.cc(1168)] HttpCache::OnBackendCreated HostStat created
E/chromium(12821): external/chromium/net/disk_cache/stat_hub.cc:216: [0324/221223:ERROR:stat_hub.cc(216)] StatHub::Init - App co.giftmeapp.giftme isn't supported.
V/chromium(12821): external/chromium/net/disk_cache/hostres_plugin_bridge.cc:73: [0324/221223:INFO:hostres_plugin_bridge.cc(73)] netstack: Failed to find symbols in plugin: libdnshostprio.so
E/chromium(12821): external/chromium/net/disk_cache/stat_hub.cc:216: [0324/221223:ERROR:stat_hub.cc(216)] StatHub::Init - App co.giftmeapp.giftme isn't supported.
V/chromium(12821): external/chromium/net/disk_cache/hostres_plugin_bridge.cc:73: [0324/221223:INFO:hostres_plugin_bridge.cc(73)] netstack: Failed to find symbols in plugin: libdnshostprio.so
E/chromium(12821): external/chromium/net/disk_cache/stat_hub.cc:216: [0324/221223:ERROR:stat_hub.cc(216)] StatHub::Init - App co.giftmeapp.giftme isn't supported.
I/ActivityThread(12805): Pub com.facebook.katana.provider.LaunchablesProvider: com.facebook.dash.launchables_v1.model.LaunchablesProvider
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Google Play Store/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Google+/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Gmail/APP_WIDGET/0)
I/ActivityThread(12805): Pub com.facebook.katana.nodex.dash.setup: com.facebook.dash.nodex.NodexWarmupContentProvider
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Lookout/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Hangouts/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Google Play Books/APP_WIDGET/0)
I/ActivityManager(  584): Recipient 12375
I/ActivityManager(  584): Process nz.barees.android.cachesensedemo (pid 12375) has died.
I/ActivityManager(  584): Recipient 12713
I/ActivityManager(  584): Process com.android.packageinstaller (pid 12713) has died.
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(News & Weather/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Google Play Music/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Google App/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Mail/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(VK/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(WhatsApp/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Pinterest/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Chrome/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(VLC/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): add AppWidget category: WidgetCategory(Bitcoin/APP_WIDGET/0)
D/CombinedWidgetProvider( 1163): -addAppWidgetCategories
D/CombinedWidgetProvider( 1163): +addHtcWidgetCategories
D/CombinedWidgetProvider( 1163):  uri: content://com.htc.launcher.widget.htcwidget/htcwidgets?category_only=true
D/HtcWidgetProvider( 1163): row 0
D/CombinedWidgetProvider( 1163): -addHtcWidgetCategories
D/CombinedWidgetProvider( 1163): +addFxWidgetCategories
I/ActivityManager(  584): Start proc com.android.vending for service com.android.vending/com.google.android.finsky.billing.iab.InAppBillingService: pid=12851 uid=10132 gids={3003, 1015, 1028}
D/FxWidgetProvider( 1163): row 61
D/        (12821): netstack: Early Connections is: ON, Version: 5.0.1, Param: 3
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): [SMD]bl_level = 30
D/libc    (  249): [SMD][Mode1]: Screen on and original TTL is not expired
D/libc    (  249): FOUND IN CACHE entry=0x41f16b68
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): NOT IN CACHE
I/VolumePanel(  584): ACTION_CONFIGURATION_CHANGED
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
V/PhoneStatusBar(  840): setLightsOn(true)
D/memalloc(  240): ion: Allocated buffer base:0x422c2000 size:208896 fd:69
D/memalloc(  240): ion: Allocated buffer base:0x400d8000 size:4096 fd:70
D/memalloc(  840): ion: Mapped buffer base:0x53b11000 size:208896 offset:0 fd:99
D/memalloc(  840): ion: Mapped buffer base:0x50bf3000 size:4096 offset:0 fd:101
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 4
